logFC	se	df	t	pval	adjPval	protein	fit_status	model	adjPval_BH
-0.689138640598029	0.176507790636178	5.63098271513189	-3.90429588469836	0.00900060650461438	0.116576811767245	sp|A0Q422|RL34_FRATN	rlm	naive	0.116576811767245
-0.381307685214151	0.0990626564926756	5.80322978580391	-3.84915667229602	0.00902850201771858	0.116576811767245	sp|A0Q4J3|RL14_FRATN	rlm	naive	0.116576811767245
-0.56791474144547	0.151033254026891	5.75948369720951	-3.76019668717695	0.0101339394308708	0.127239588317153	tr|A0Q4B6|A0Q4B6_FRATN	rlm	naive	0.127239588317153
0.649345513205622	0.175685329119865	6.00043011697071	3.69607135928005	0.0101341696297839	0.127239588317153	tr|A0Q6Z5|A0Q6Z5_FRATN	rlm	naive	0.127239588317153
0.326922489375903	0.088624435822622	6.00043011697071	3.68885270006371	0.0102213316809292	0.127239588317153	tr|A0Q8L1|A0Q8L1_FRATN	rlm	naive	0.127239588317153
-0.446577817430299	0.121239935399973	6.00043011697071	-3.68342176987336	0.010287456076706	0.127239588317153	sp|A0Q4S4|RL28_FRATN	rlm	naive	0.127239588317153
-1.00736290467509	0.273630521330276	5.84114292884546	-3.68147127658757	0.0108175875590352	0.132402764394441	sp|A0Q4J6|RS14_FRATN	rlm	naive	0.132402764394441
0.722215652972889	0.197413744080993	5.85579266594351	3.65838587548689	0.0110641394336618	0.13294762152496	tr|A0Q7U2|A0Q7U2_FRATN	rlm	naive	0.13294762152496
-0.477637082209467	0.1210286804353	4.95447364224964	-3.94647847511487	0.0110883973697414	0.13294762152496	sp|A0Q5Q2|RL21_FRATN	rlm	naive	0.13294762152496
0.322673642985677	0.0888844709416155	5.8658811018489	3.63025891437918	0.0114012439977352	0.135317794922615	tr|A0Q797|A0Q797_FRATN	rlm	naive	0.135317794922615
0.67553741299779	0.191719270288987	5.96472980884676	3.5235759659398	0.0125861918024363	0.14703648455591	tr|A0Q7H7|A0Q7H7_FRATN	rlm	naive	0.14703648455591
-0.719799735971275	0.18428747348575	4.72982995169686	-3.90585275470138	0.012638880800125	0.14703648455591	tr|A0Q5X8|A0Q5X8_FRATN	rlm	naive	0.14703648455591
0.546890802029905	0.155881757133854	5.91655424694472	3.50836949804393	0.0129910373948479	0.147960631919794	tr|A0Q7T9|A0Q7T9_FRATN	rlm	naive	0.147960631919794
